"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","15","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","21","1","1","217.041275","0","73"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","2","2","1","3.811332","0","3"
"/Game/Materials/M_FogOfWar.M_FogOfWar","0","4","4","1","6.255846","0","6"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","52","2","2","554.377136","0","380"
"/Game/Materials/M_River.M_River","0","12","1","1","148.181625","0","61"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","63","1","1","609.636536","0","595"
"/Volumetrics/Content/Sky/Materials/M_VolumetricCloud_02_Profiles_PaintClouds.M_VolumetricCloud_02_Profiles_PaintClouds","0","68","1","1","733.039734","0","637"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","33","6","1","264.509766","0","234"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","33","2","1","286.503601","0","147"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","33","1","1","229.940033","0","150"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","2","1","218.188324","0","134"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","5","5","1","8.673482","0","5"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","611","10","1","3548.287842","0","24420"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","9","1","13.524226","0","16"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","15.277255","0","4"
"/ControlRig/M_Manip.M_Manip","0","8","9","1","11.462665","0","13"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","4.497465","0","3"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","87","3","1","440.646301","0","1333"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","123","1","1","1154.629395","0","1556"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","68","4","1","516.214722","0","442"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","6","1","7.677049","0","10"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","47","1","1","266.226410","0","1136"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","47","1","1","265.319885","0","1174"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","47","1","1","209.310028","0","1067"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","24","1","1","79.121223","0","323"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","5","1","1","4.331497","0","17"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","34","13","2","39.703079","0","610"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","8","2","1","10.990498","0","51"
"/ControlRig/M_Manip.M_Manip","49","8","1","1","9.063753","0","46"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","4","1","1","4.363328","0","13"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","2","2","1","2.584897","0","3"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","22","35","6","22.437214","0","127"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","68","1","1","152.003036","0","2328"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","6","1","1","5.507829","0","26"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","87","1","1","128.715607","0","1678"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","123","1","1","456.238525","0","2084"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","775","4","1","1674.801514","0","50658"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","49","52","2","2","168.394073","0","399"
"/Game/Materials/M_HexTile.M_HexTile","49","32","33","2","142.266617","0","285"
"/Game/Materials/M_River.M_River","49","12","1","1","45.043449","0","49"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","77","2","1","329.753967","0","1168"
"/Volumetrics/Content/Sky/Materials/M_VolumetricCloud_02_Profiles_PaintClouds.M_VolumetricCloud_02_Profiles_PaintClouds","49","68","4","1","180.706528","0","729"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","0","6","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","0","18","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","0","23","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","0","3","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","0","3","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","0","29","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","0","88","1","0.000000","0","0"
"/Game/Blueprints/FogOfWar/FOW_GameActorMat.FOW_GameActorMat","49","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","0","23","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","49","0","21","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","0","31","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","0","4","1","0.000000","0","0"
"/Game/Blueprints/FogOfWar/FOW_Exploring_Mat.FOW_Exploring_Mat","49","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","49","0","3","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","0","9","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","0","12","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","0","12","1","0.000000","0","0"
"/Game/Blueprints/FogOfWar/FOW_Explored_Mat.FOW_Explored_Mat","49","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","0","4","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","0","62","1","0.000000","0","0"
"/Game/Blueprints/Sprite_FaceCamera/Test_Sprite.Test_Sprite","49","0","12","1","0.000000","0","0"
"/Game/Blueprints/Tile_Textures/Asset_Textures/Materials/Rock_Material.Rock_Material","49","0","18","1","0.000000","0","0"
"/Game/Materials/M_HexTileBlight.M_HexTileBlight","49","0","36","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","49","0","21","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","49","0","2","1","0.000000","0","0"
"/Game/Materials/M_FogOfWar.M_FogOfWar","49","0","4","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","0","2","1","0.000000","0","0"
"/Game/Blueprints/Tile_Textures/Asset_Textures/Materials/Tree_Material.Tree_Material","49","0","18","1","0.000000","0","0"
